SEGMENTID,LON,LAT,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
69163,-73.93710834,40.79984401,0,N,2,12171,10,1074333,1,05/14/2009 12:00:00 AM +0000,11/29/2016 12:00:00 AM +0000,2,DOE,10078501,5128938,PS 96 JOSEPH LANZETTA
34217,-73.98292191,40.76380762,0,,1,13932,3,1024838,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,3,FDNY,,1023588,ED SULLIVAN THTR
34220,-73.98288765,40.76405742,0,,1,2410,4,1024839,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,7,NYPD,,1023591,AMERITANIA HOTEL AT TIMES SQUARE
43117,-73.93634787,40.68091615,0,,2,3247,1,3047371,3,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,NYPD,,3058824,GOSPEL TEMPLE CHURCH OF GOD
9008897,-73.82191299,40.86550248,515,,1,8230,2,2093858,2,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,1,DoITT,,2101927,CO-OP CITY BUILDING 28
78137,-73.90296648,40.83340863,0,,,5077,2,2009619,2,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,2017249,LA PENINSULA COMMUNITY HEAD START
9004671,-73.94404016,40.70324181,2245,X,2,7129,3,3327986,3,05/14/2009 12:00:00 AM +0000,09/07/2012 12:00:00 AM +0000,1,DCP,32055002,3094096,BORINQUEN PLAZA BUILDING 1
17826,-74.02034113,40.64979048,0,N,2,13182,7,3332515,3,05/14/2009 12:00:00 AM +0000,12/16/2013 12:00:00 AM +0000,8,DCP,33361901,5125956,DSNY GARAGE BROOKLYN 10
67394,-73.93569488,40.7525534,0,,2,15765,1,4436782,4,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,EMS,,0,ST PATRICKS CHURCH
34220,-73.9837531,40.7644013,0,,1,5444,3,1024843,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,3,FDNY,,1023594,STUDIO 54
42478,-73.91828483,40.65080303,0,,2,1028668,1,3104797,3,10/31/2016 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,OTHER,,3141489,GRACE DELIVERANCE TABERNACLE CHURCH
17826,-74.0203034,40.64981874,0,N,2,6997,7,3332515,3,05/14/2009 12:00:00 AM +0000,12/16/2013 12:00:00 AM +0000,8,DCP,33361701,5125956,DOS GARAGE BK SOUTH 7
169370,-73.85256666,40.70251085,451,G,1,884,1,0,4,05/14/2009 12:00:00 AM +0000,07/06/2011 12:00:00 AM +0000,4,DPR,41332501,0,FOREST PARK
28499,-73.95597412,40.65612259,0,,,4541,2,3115846,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3154211,FLATBUSH ACTION COMMUNITY DCC INC.
110967,-73.95199209,40.81718095,393,X,2,14092,2,1084069,1,05/14/2009 12:00:00 AM +0000,01/24/2012 12:00:00 AM +0000,5,DCP,11538520,1050299,CITY COLLEGE CDC
136480,-73.96642091,40.59920412,0,,2,14745,2,3191944,3,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,9,EMS,,3243281,SHAARE ZION CONGR
70507,-73.90895419,40.80756048,0,,1,11363,3,2003874,2,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,10,NYPD,,2101556,SOUTH BRONX MENTAL HEALTH COUNCIL COMMUNITY MENTAL HEALTH CENTER
20661,-74.01446469,40.65572877,0,X,2,9513,2,3378188,3,05/14/2009 12:00:00 AM +0000,12/16/2013 12:00:00 AM +0000,1,DCP,32384513,5144298,BUSH TERMINAL UNIT B
19658,-74.00674292,40.62742678,0,,1,15430,1,3142442,3,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,9,EMS,,3185505,COPTIC ORTHODOX CHURCH OF ST GEORGE
32468,-73.99981988,40.74210249,0,,,2997,2,1013872,1,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,7,EMS,,1017277,SCHLESINGER & SON
40329,-73.92711275,40.59430426,0,,,4418,2,3250077,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3310868,"KIDDIE PATCH, INC."
86283,-73.85726885,40.82854773,0,N,1,10861,1,2025696,2,05/14/2009 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,20028201,5130610,PS 119
41814,-73.93689129,40.63724851,0,,1,5674,1,3113388,3,05/14/2009 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,3151465,PS 198
76561,-73.87694939,40.74294166,0,,1,12825,16,4439252,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,NYPD,,43968,ST BARTHOLOMEW SCHOOL
81609,-73.86954272,40.73586468,0,,1,12854,6,4046340,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,51928,CATHEDRAL PREP HS
79125,-73.88484217,40.84072797,0,,1,10414,6,2010618,2,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,5163811,ST THOMAS AQUINAS SCHL
52359,-73.86532098,40.705933,0,,1,4009,1,4093076,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,9,EMS,,103339,GLEN DALE SACRED HEART CH
17062,-74.02890251,40.62008918,0,,,4910,2,3154218,3,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,5,EMS,,3199036,EARLY CHILDOOD CTR
34645,-73.97801779,40.73808506,0,,1,1020445,7,1020601,1,06/05/2013 12:00:00 AM +0000,06/06/2013 12:00:00 AM +0000,2,OTHER,,1022667,K B WEISSMAN CLINICAL SCIENCE BUILDING NYU COLLEGE OF DENTISTRY
41560,-73.90970106,40.61875589,0,,1,4187,3,3237201,3,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,9,EMS,,3295938,FLTBSH SHOLOM TMPL
175038,-73.8718667,40.72816227,0,,1,4041,1,4067988,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,9,EMS,,76184,RESURRECTN ASCN CH
41347,-73.92049121,40.6210211,0,,2,11673,4,3345503,3,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,3276400,MARYY QN HEAVEN SC
175038,-73.87189961,40.7281295,0,,1,12220,4,4067988,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,76184,RESURRECTN ASCN SC
74730,-73.8833036,40.73273363,2758,X,1,1005465,4,4443150,4,06/02/2011 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,OTHER,40000901,74116,ST ADALBERT SCHOOL
7523,-74.12627863,40.56729083,0,,1,16491,6,5107624,5,05/14/2009 12:00:00 AM +0000,12/16/2014 12:00:00 AM +0000,2,EMS,,5075287,MSGR FARRELL HS
63798,-73.73606649,40.66929074,0,,1,11291,4,4438946,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,315680,ST CLARE SCHL
156850,-73.84043924,40.71932652,0,,2,11437,1,4078039,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,9,EMS,,0,OUR LADY QUEEN OF MARTYRS CHURCH
55297,-73.81200235,40.67506312,0,,2,11503,4,4254718,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,282133,OL CATHOLIC ACADEMY ROCKAWAY BLVD CAMPUS
67889,-73.92165263,40.75875793,0,,2,12707,4,4436898,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,12536,PRECIOUS BLOOD SCHL
23685,-73.99707051,40.6957289,0,,1,12987,2,3001944,3,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,1,NYPD,,3002899,THE BREUKELEN
9004048,-73.90725749,40.81613365,54,,1,1604,3,2091979,2,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,5,DoITT,,2101592,DOUGLAS LEON SENIOR CENTER
9008379,-73.85745072,40.82034373,0,,2,5068,4,2022204,2,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,5,EMS,,2036334,GRAND MANOR NH
35654,-73.94338575,40.72445586,0,G,2,17520,1,0,3,05/14/2009 12:00:00 AM +0000,08/30/2013 12:00:00 AM +0000,4,DPR,31248501,0,MSGR MAC GOLRICK PARK
162336,-74.0128803,40.71468114,0,,2,1017971,1,1001417,1,01/10/2013 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,8,OTHER,,1001451,DC37 HEADQUARTERS
47505,-73.89488541,40.66190395,0,,,1562,9,0,3,05/14/2009 12:00:00 AM +0000,09/24/2013 12:00:00 AM +0000,4,DoITT,,0,PS 190 PLAYGROUND
39155,-73.93178169,40.55193134,36,,1,1002353,6,4000000,4,09/07/2010 12:00:00 AM +0000,09/16/2013 12:00:00 AM +0000,7,OTHER,,0,BREEZY POINT SURF CLUB
302616,-73.73609398,40.66678951,0,,,5606,2,4284726,4,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,5,DoITT,,316056,PAULINE BROWN
169796,-73.8094906,40.5868231,0,,2,13144,4,4538543,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,9115718,ST ROSE LIMA SCHL
25862,-73.95381017,40.57768344,0,,1,4411,3,3245719,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,5,DoITT,,3305721,SCHEUER HOUSE OF MANHATTAN BEACH
13830,-74.10186809,40.64266757,2498,X,1,1018047,4,5146250,5,01/15/2013 12:00:00 AM +0000,09/20/2013 12:00:00 AM +0000,3,OTHER,51204503,0,S I CHILDREN'S MUSEUM
65251,-73.7386833,40.71212393,0,,1,13154,4,4239367,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,NYPD,,266534,ST JOACHIM AND ANNE SCHL
38476,-73.95607017,40.8044102,0,,1,1380,12,0,1,05/14/2009 12:00:00 AM +0000,09/24/2013 12:00:00 AM +0000,4,DPR,,0,GARDEN OF LOVE
107441,-73.80019069,40.74445912,3284,,1,962,3,0,4,05/14/2009 12:00:00 AM +0000,09/13/2013 12:00:00 AM +0000,4,DoITT,,0,KISSENA PARK GOLF COURSE
20215,-73.98975819,40.60626109,0,,2,16616,1,3162352,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,3,DoITT,,3208147,EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST
40425,-73.92454047,40.59190738,0,,2,17402,1,3249744,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,9,EMS,,3310479,ST JAMES EVANGELICAL LUTH
